1000 0.1
-2.84385 0.150335 -2.69069
-2.8397 0.150335 -2.75974
-2.83709 0.150335 -2.60807
-2.83814 0.150335 -2.77767
-2.84175 0.150335 -2.73205
-2.83648 0.150335 -2.60447
-2.84174 0.150335 -2.73212
-2.83648 0.150335 -2.60447
-2.02938 0.15001 -1.89703
-2.83737 0.150335 -2.60945
-2.8388 0.150335 -2.61861
-2.83979 0.150335 -2.62602
-2.8429 0.150321 -1.24408
-2.83979 0.150335 -2.62602
-2.8429 0.150321 -1.24408
-2.83946 0.150335 -2.62346
-2.76731 0.150335 0.513349
-2.82313 0.150336 -0.843335
-2.83131 0.150335 -0.918273
-2.81152 0.150335 -0.12861
-2.83139 0.150335 -0.918925
-2.81152 0.150335 -0.12861
-2.83791 0.150271 -1.95423
-2.77149 0.150335 0.463981
-2.80021 0.150335 0.375172
-2.84822 0.150336 0.224649
-2.7698 0.150335 0.485629
-2.8482 0.150336 0.22321
-2.7698 0.150335 0.48563
-2.8476 0.150308 -1.27209
-2.68091 0.149428 2.41506
-2.79139 0.150336 0.672352
-2.77739 0.150335 0.627323
-2.76971 0.150335 0.609068
-2.77728 0.150335 0.626996
-2.76971 0.150335 0.609068
-2.801 0.150335 -0.178851
-2.74796 0.150106 2.71546
-2.80571 0.150335 0.872271
-2.80701 0.150335 0.721948
-2.80427 0.152945 2.21347
-2.80697 0.150335 0.720953
-2.80427 0.152945 2.21347
-2.8094 0.152493 2.20347
-2.76821 0.150347 2.26667
-2.81339 0.160723 2.19239
-2.81163 0.154814 2.19786
-2.74731 0.159476 2.28504
-2.8115 0.155567 2.19837
-2.74731 0.159476 2.28504
-2.81828 0.159347 1.80061
-2.73638 0.157834 2.29401
-2.70034 0.15003 2.34747
-2.68804 0.149735 2.38083
-2.70581 0.149127 2.57652
-2.68795 0.149732 2.38118
-2.70581 0.149127 2.57652
-2.7249 0.149566 2.64201
-2.73435 0.149802 2.66907
-2.68941 0.149588 2.52201
-2.67538 0.149547 2.46147
-2.74748 0.150098 2.71371
-2.67537 0.149548 2.46157
-2.74748 0.150098 2.71371
-2.75023 0.150179 2.73912
-2.74268 0.150016 2.69996
-2.74656 0.150077 2.7094
-2.74838 0.150134 2.7239
-2.68987 0.149591 2.52385
