1000 0.1
-0.841473 0.150335 -2.72945
-0.841473 0.150335 -2.72945
-0.841473 0.150335 -2.72945
-0.841473 0.150335 -2.72945
-0.841473 0.150335 -2.72945
-0.885837 0.150302 -2.74663
-0.841473 0.150335 -2.72945
-0.885837 0.150302 -2.74663
-0.841473 0.150335 -2.72945
-0.888063 0.150299 -2.75094
-0.884464 0.1503 -2.74419
-0.884554 0.1503 -2.74409
-0.895622 0.150335 -2.76592
-0.884554 0.1503 -2.74409
-0.895622 0.150335 -2.76592
-0.884705 0.1503 -2.74435
-1.06732 0.150335 -2.85013
-0.888697 0.150297 -2.72608
-0.889594 0.150297 -2.72731
-0.884866 0.150296 -2.722
-0.889588 0.150297 -2.7273
-0.884866 0.150296 -2.722
-2.00137 0.150335 -1.78399
-1.35566 0.150335 -2.79381
-1.26639 0.150335 -2.77963
-1.06594 0.150335 -2.80707
-1.33586 0.150335 -2.78448
-1.05695 0.150335 -2.80563
-1.33586 0.150335 -2.78448
-2.00248 0.150335 -1.78591
-1.73895 0.150335 -2.79444
-1.34776 0.150335 -2.79007
-1.32062 0.150335 -2.78528
-1.32202 0.150335 -2.77862
-1.32217 0.150335 -2.78562
-1.32202 0.150335 -2.77862
-0.861316 0.150292 -2.44634
-2.01247 0.150335 -2.54953
-1.19819 0.150335 -2.6986
-1.28626 0.150335 -2.67998
-1.59242 0.150335 -2.67734
-1.28694 0.150335 -2.67985
-1.59244 0.150335 -2.67735
-1.25836 0.150335 -2.7798
-1.79986 0.150335 -2.76533
-1.84652 0.150335 -2.82746
-1.8431 0.150335 -2.82748
-1.88233 0.150335 -2.82743
-1.84307 0.150335 -2.82748
-1.88233 0.150335 -2.82743
-1.75948 0.150335 -2.80921
-1.79621 0.150335 -2.3556
-2.04188 0.150335 -2.63243
-2.04425 0.150335 -2.65707
-2.79974 0.150335 -2.53808
-2.04424 0.150335 -2.65709
-2.79974 0.150335 -2.53808
-2.03503 0.150335 -2.66928
-2.79746 0.150336 -1.21856
-2.79936 0.150336 -1.21543
-2.79789 0.150336 -1.21845
-2.79733 0.150336 -1.21859
-2.79791 0.150336 -1.21845
-2.79733 0.150336 -1.21859
-1.98685 0.150335 -2.53453
-2.79828 0.150336 -1.21841
-2.72293 0.150335 -1.86277
-2.76405 0.150335 -1.98496
