1000 0.1
-2.58467 0.156904 -2.76847
-2.53616 0.152242 -2.79118
-2.67364 0.161603 -2.71771
-2.53751 0.152339 -2.79063
-2.53419 0.152104 -2.79206
-2.53884 0.152444 -2.79011
-2.53444 0.152149 -2.79192
-2.53884 0.152444 -2.79011
-2.67313 0.161566 -2.71766
-2.53657 0.152204 -2.79044
-2.57469 0.156083 -2.77407
-2.53659 0.152269 -2.79102
-2.5954 0.157554 -2.76193
-2.53631 0.152252 -2.79113
-2.5954 0.157554 -2.76193
-1.24248 0.153442 -2.0192
-2.72549 0.173176 1.28168
-2.70433 0.155416 -2.18325
-2.73317 0.162056 0.389959
-2.74218 0.178813 1.19089
-2.76696 0.15032 0.302177
-2.74218 0.178813 1.19089
-2.74173 0.190433 -2.25005
-2.78822 0.201891 -1.88092
-2.8251 0.150392 0.538227
-2.74088 0.15034 0.333069
-2.83025 0.161361 0.1114
-2.73131 0.154102 0.352902
-2.83025 0.161361 0.111398
-2.57752 0.150334 -2.29196
-2.83026 0.161312 0.112722
-2.74664 0.184821 1.20838
-2.79436 0.154859 0.832785
-2.64397 0.162454 1.29948
-2.79565 0.1552 0.825421
-2.64397 0.162454 1.29948
-2.79151 0.153902 0.854791
-2.81304 0.150972 0.751856
-2.79155 0.151995 0.90625
-2.79286 0.151831 0.918669
-2.81286 0.15097 0.752741
-2.78797 0.150236 0.947204
-2.81286 0.15097 0.752743
-2.52128 0.18861 2.16069
-2.73927 0.232105 -0.2619
-2.69813 0.201066 -0.53081
-2.67989 0.22716 -0.531068
-2.54483 0.181307 2.19292
-2.74243 0.242078 -0.216152
-2.54483 0.181306 2.19291
-2.66927 0.22978 -0.555694
-2.70728 0.15034 2.23674
-2.70728 0.15034 2.23674
-2.70728 0.15034 2.23674
-2.70728 0.15034 2.23674
-2.70728 0.15034 2.23674
-2.70728 0.15034 2.23674
-2.53314 0.182298 2.19034
-2.70728 0.15034 2.23674
-2.70728 0.15034 2.23674
-2.70728 0.15034 2.23674
-2.70728 0.15034 2.23674
-2.70728 0.15034 2.23674
-2.70728 0.15034 2.23674
-2.70728 0.15034 2.23674
-2.52703 0.182378 2.18438
-2.55056 0.156094 2.09568
-1.99008 0.148371 0.723332
-2.54082 0.165715 2.11608
-2.35023 0.163617 1.33809
-2.53851 0.152419 -2.79027
-2.57986 0.156567 -2.77122
-2.67276 0.161553 -2.71773
-2.53422 0.152105 -2.79205
-2.53751 0.152339 -2.79063
-2.53795 0.152409 -2.79083
-2.58531 0.156935 -2.76809
-2.53795 0.152409 -2.79083
-2.57448 0.156064 -2.77418
-2.5364 0.152257 -2.79109
-2.57479 0.156093 -2.77401
-2.57469 0.156083 -2.77407
-2.5363 0.152186 -2.79054
-2.53696 0.152232 -2.7903
-2.5363 0.152186 -2.79054
-2.60439 0.155109 -2.75568
-2.74869 0.160576 1.13151
-2.58139 0.156697 -2.77033
-2.70433 0.155416 -2.18325
-2.65512 0.163058 1.29809
-2.60332 0.156256 -2.75635
-2.65512 0.163058 1.29809
-2.78297 0.196793 -1.84805
-2.7527 0.185394 1.25582
-2.78284 0.198214 -1.84274
-2.8251 0.150392 0.538227
-2.82779 0.152411 0.61602
-2.73778 0.150335 -1.75585
-2.82779 0.152411 0.61602
